title,kicker,image,link
"Nebraska: New tariffs drive up costs, threaten War Horse Casino’s expansion plans",ACCORDING TO HO-CHUNK INC. CEO,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/01/09/51508/1673270339-lance-morgan-ceo-ho-chunk-02.jpg,https://www.yogonet.com/international/news/2025/04/07/100766-nebraska-new-tariffs-drive-up-costs-threaten-war-horse-casinos-expansion-plans
UK and Ireland gambling regulators sign MoU to strengthen cross-border cooperation,UKGC AND GRAI,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/26/72945/1740593786-juego-online-generica-23.jpg,https://www.yogonet.com/international/news/2025/04/07/100761-uk-and-ireland-gambling-regulators-sign-mou-to-strengthen-crossborder-cooperation
French regulator greenlights gambling industry's harm reduction plans,AMID CALLS FOR STRICTER MEASURES,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/10/28/50179/1666966393-vista-paris-francia.jpg,https://www.yogonet.com/international/news/2025/04/08/100869-french-regulator-greenlights-gambling-industry-39s-harm-reduction-plans
Baltimore sues DraftKings and FanDuel over alleged predatory gambling practices,ACCUSES THEM OF EXPLOITING VULNERABLE USERS,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/03/04/30552/1625347924-draftkings-fanduel-fantasy-football-sports-03.jpg,https://www.yogonet.com/international/news/2025/04/07/100778-baltimore-sues-draftkings-and-fanduel-over-alleged-predatory-gambling-practices
BiS SiGMA Americas 2025 kicks off with focus on online betting regulation in Brazil,EVENT RUNS UNTIL APRIL 10,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/26/63826/1714147652-bis-sigma-americas-2024-63-pasillo-generica.jpg,https://www.yogonet.com/international/news/2025/04/08/100767-bis-sigma-americas-2025-kicks-off-with-focus-on-online-betting-regulation-in-brazil
SBC Summit Americas to feature Affiliate Leaders Summit for affiliate marketers in North and Latin America,"MAY 13-15, FLORIDA",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74329/1744032943-sbc-summit-americas-2025-affiliate-leaders-summit.jpg,https://www.yogonet.com/international/news/2025/04/08/100772-sbc-summit-americas-to-feature-affiliate-leaders-summit-for-affiliate-marketers-in-north-and-latin-america
How seamless onboarding can turbocharge your conversion rates,UPLATFORM ANALYSIS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74291/1743774320-uplatform-why-onboarding-is-the-real-mvp-01.jpg,https://www.yogonet.com/international/news/2025/04/07/100464-how-seamless-onboarding-can-turbocharge-your-conversion-rates
"PENN partners with MLB Players Association for rights to MLB player names, images and likenesses",FOR ESPN BET AND THESCORE BET,https://imagenesyogonet.b-cdn.net/data/imagenes/2015/11/11/6243/1625187605-major-league-baseball-mlb-generica-01.jpg,https://www.yogonet.com/international/news/2025/04/08/100770-penn-partners-with-mlb-players-association-for-rights-to-mlb-player-names-images-and-likenesses
Massachusetts lawmakers push for stricter sports betting rules as addiction concerns grow,"TO CURB AGGRESSIVE MARKETING, BAN PROP BETS",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/21/71727/1737467674-john-keenan-senador-massachusetts.jpg,https://www.yogonet.com/international/news/2025/04/08/100878-massachusetts-lawmakers-push-for-stricter-sports-betting-rules-as-addiction-concerns-grow
"Oddsgate: ""There’s a fundamental shift happening across LatAm, and we’re glad to be in the momentum""","LUSIA BARSEGHYAN, CO-FOUNDER AND COO",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74354/1744123310-lusia-barseghyan-co-founder-coo-oddsgate-01.jpg,https://www.yogonet.com/international/news/2025/04/08/100882-oddsgate-34theres-a-fundamental-shift-happening-across-latam-and-were-glad-to-be-in-the-momentum-34
"Alabama lawmakers reject gambling bill, sponsor declares issue dead for decades","AMID ""MORE PRESSING MATTERS""",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/02/63050/1712070932-alabama-lawmakers-house.jpg,https://www.yogonet.com/international/news/2025/04/07/100790-alabama-lawmakers-reject-gambling-bill-sponsor-declares-issue-dead-for-decades
Macau casino stocks tumble as U.S.-China trade tensions escalate,HANG SENG PLUNGES 13%,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/10/31/22078/1625250962-caida-ingresos-casinos-generica.jpg,https://www.yogonet.com/international/news/2025/04/07/100780-macau-casino-stocks-tumble-as-uschina-trade-tensions-escalate
Tilman Fertitta boosts stake in Wynn Resorts amid market downturn,SECOND STOP ALONG THE STRIP,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/04/05/44520/1649168388-tilman-fertitta-golden-nugget-casino-04.jpg,https://www.yogonet.com/international/news/2025/04/09/101000-tilman-fertitta-boosts-stake-in-wynn-resorts-amid-market-downturn
Clarity Game Nevada completes acquisition of Stockman's Casino in Fallon,TOTAL STAKE REACHES 13 MILLION SHARES,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/08/23/20641/1625245205-stockmans-casino-fallon-nevada.jpg,https://www.yogonet.com/international/news/2025/04/09/101010-clarity-game-nevada-completes-acquisition-of-stockman-39s-casino-in-fallon
SOFTSWISS Sportsbook introduces Player Chat feature to drive user engagement,TO INSTALL NEW SLOT MACHINES,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74314/1744026890-sofswiss-boosting-engagement-player-chat.jpg,https://www.yogonet.com/international/news/2025/04/08/100754-softswiss-sportsbook-introduces-player-chat-feature-to-drive-user-engagement
BMM Testlabs to open product testing lab in São Paulo in support of Brazil's expanding gaming market,WITH THE COMPANY SINCE 2018,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74335/1744040941-bmm-test-labs-marzia-turrini-president-igaming-cybersecurity-quote-sao-paulo-brazil.jpg,https://www.yogonet.com/international/news/2025/04/08/100783-bmm-testlabs-to-open-product-testing-lab-in-sao-paulo-in-support-of-brazil-39s-expanding-gaming-market
Thailand's deputy PM says casinos could offset trade losses from U.S. tariffs,TRUMP SETS 36% TARIFFS ON THAI EXPORTS,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/07/01/47157/1656683069-vista-bangkok-tailandia-02.jpg,https://www.yogonet.com/international/news/2025/04/09/100903-thailand-39s-deputy-pm-says-casinos-could-offset-trade-losses-from-us-tariffs
New Vegas Loop station opens at Encore Las Vegas,SECOND STOP ALONG THE STRIP,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74470/1744209958-boring-company-vegas-loop.jpg,https://www.yogonet.com/international/news/2025/04/09/100999-new-vegas-loop-station-opens-at-encore-las-vegas
California's Hard Rock Tejon hosts community sessions in Kern County ahead of grand opening,FIRST SESSION ON APRIL 4,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/06/14/46364/1655209662-render-hard-rock-hotel-casino-tejon.jpg,https://www.yogonet.com/international/news/2025/04/08/100765-california-39s-hard-rock-tejon-hosts-community-sessions-in-kern-county-ahead-of-grand-opening
"Richmond buys former casino site for $5.5 million, plans park and development",96-ACRE PROPERTY,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/11/08/59434/1699449758-virginia-richmond-ballot-vote.jpg,https://www.yogonet.com/international/news/2025/04/07/100468-richmond-buys-former-casino-site-for-55-million-plans-park-and-development
"Kentucky records $218.9M in online sports betting handle for February, up 14.3% year-over-year","DRAFTKINGS LEADS IN WAGERS, REVENUE",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/14/66933/1723646376-draftkings-mobile-generica-03.jpg,https://www.yogonet.com/international/news/2025/04/09/100906-kentucky-records-2189m-in-online-sports-betting-handle-for-february-up-143-yearoveryear
"California tribes deny sports betting deal with DraftKings, FanDuel amid renewed debate",BREACH IN CLOSE DOOR DISCUSSION DRAWS BACKLASH,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/06/13/26001/1625329682-apuestas-deportivas-generica-24.jpg,https://www.yogonet.com/international/news/2025/04/04/100459-california-tribes-deny-sports-betting-deal-with-draftkings-fanduel-amid-renewed-debate
Hong Kong proposes legalizing basketball betting in effort to tackle black market,ABOUT $11.5B IN ILLEGAL BETTING IN 2024,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/10/31/22058/1625250901-nba-jugadores-03.jpg,https://www.yogonet.com/international/news/2025/04/04/100482-hong-kong-proposes-legalizing-basketball-betting-in-effort-to-tackle-black-market
Virginia sports betting revenue jumps 39% in February despite shorter month,STATE COLLECTS $9.3M IN TAX REVENUE,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/03/16/53000/1678980947-apuestas-deportivas-generica-29.jpg,https://www.yogonet.com/international/news/2025/04/03/100343-virginia-sports-betting-revenue-jumps-39-in-february-despite-shorter-month
Colombia’s online gaming sector sees sharp revenue decline following new VAT on deposits,"CHRISTIAN GRAFFIGNA, DIRECTOR OF EGT ARGENTINA",https://imagenesyogonet.b-cdn.net/data/imagenes/2023/01/20/51739/1674219374-apuestas-deportivas-online-colombia-generica.jpg,https://www.yogonet.com/international/news/2025/04/09/101007-colombias-online-gaming-sector-sees-sharp-revenue-decline-following-new-vat-on-deposits
Breaking stereotypes: The rise of female players,UPLATFORM ANALYSIS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/10/73325/1741630120-uplatform-the-rise-of-female-players.jpg,https://www.yogonet.com/international/news/2025/03/11/97734-breaking-stereotypes-the-rise-of-female-players
UK online gambling revenue surges 21% in Q3 to $1.91 billion,GGR DROPS BY 30%,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/09/21/49113/1663774137-ukgc-generica-05-gambling-commission.jpg,https://www.yogonet.com/international/news/2025/02/10/94647-uk-online-gambling-revenue-surges-21-in-q3-to-191-billion
"Denmark’s gambling revenue rises to $1.02 billion in 2024, driven by online casino growth",GGR DROPS BY 30%,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/08/30/57186/1693401909-spillemyndigheden-danish-gambling-authority.jpg,https://www.yogonet.com/international/news/2025/02/17/95424-denmarks-gambling-revenue-rises-to-102-billion-in-2024-driven-by-online-casino-growth
Montana lawmaker introduces bill to strengthen online gambling enforcement,SENATE BILL 555,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74363/1744136050-capitolio-montana.jpg,https://www.yogonet.com/international/news/2025/04/09/100893-montana-lawmaker-introduces-bill-to-strengthen-online-gambling-enforcement
North Cyprus bill would allow Turkish Cypriots into casinos for the first time,ECONOMIC CONCERNS RAISED,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/17/72613/1739799970-casino-maquina-generica.jpg,https://www.yogonet.com/international/news/2025/04/09/100774-north-cyprus-bill-would-allow-turkish-cypriots-into-casinos-for-the-first-time
"Efforts to legalize mobile sports betting, ban sweepstakes casinos in Mississippi stall for second consecutive year",PANEL WAS UNABLE TO REACH COMPROMISE,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/02/04/34933/1625365444-missouri-capitolio-legislatura.jpg,https://www.yogonet.com/international/news/2025/04/07/100786-efforts-to-legalize-mobile-sports-betting-ban-sweepstakes-casinos-in-mississippi-stall-for-second-consecutive-year
Ghana President signs law to abolish betting tax,SEEKS TO EASE FINANCIAL BURDEN,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74274/1743726553-john-dramani-mahama-presidente-ghana.jpg,https://www.yogonet.com/international/news/2025/04/04/100340-ghana-president-signs-law-to-abolish-betting-tax
"Victor Arias: ""In different aspects and proportions, everyone has had to adapt to the new Brazil market reality""",VP OF OPERATIONS LATAM IN ARRISE POWERING PRAGMATIC PLAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/28/73089/1740751085-sbc-summit-rio-2025-1-26-victor-arias-pragmatic-play.jpg,https://www.yogonet.com/international/news/2025/04/04/100461-victor-arias-34in-different-aspects-and-proportions-everyone-has-had-to-adapt-to-the-new-brazil-market-reality-34
"Aristocrat Interactive: ""Our solutions help operators stay on top of player needs by providing access to real-time, accurate data""","KRISTEN JONES, GAMING SYSTEMS VP OF SALES",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/31/74163/1743446896-kristen-jones-vp-sales-gaming-systems-aristocrat-interactive.jpg,https://www.yogonet.com/international/news/2025/04/01/100032-aristocrat-interactive-34our-solutions-help-operators-stay-on-top-of-player-needs-by-providing-access-to-realtime-accurate-data-34
"""At SBC Summit Rio 2025 we doubled the number of companies and visitors present last year""","CRISTIAN ROBALINO, SBC VP OF MARKETING FOR THE AMERICAS",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/28/73090/1740751086-sbc-summit-rio-2025-1-25-cristian-robalino-sbc.jpg,https://www.yogonet.com/international/news/2025/03/03/96685--34at-sbc-summit-rio-2025-we-doubled-the-number-of-companies-and-visitors-present-last-year-34
Atlaslive expands presence in Brazil and prepares to launch new Sportsbook feature,"INTERVIEW WITH NELLI MELIK, CSO",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/14/72586/1739542661-nelli-melik-cso-atlaslive-eng.jpg,https://www.yogonet.com/international/news/2025/02/14/95114-atlaslive-expands-presence-in-brazil-and-prepares-to-launch-new-sportsbook-feature
Canadian Gaming Summit 2025 heads to Toronto with industry-shaping agenda,EVENT CONTINUES THIS WEDNESDAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74332/1744039601-cgs-canadian-gaming-summit-2025.jpg,https://www.yogonet.com/international/news/2025/04/08/100771-canadian-gaming-summit-2025-heads-to-toronto-with-industryshaping-agenda
Casino Guru Awards 2025: Public voting continues for the Voice of the People category,"JUNE 26, MADRID",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74289/1743773094-casino-guru-awards-2025-public-voting-continues.jpg,https://www.yogonet.com/international/news/2025/04/04/100455-casino-guru-awards-2025-public-voting-continues-for-the-voice-of-the-people-category
"East Coast Gaming Congress to feature NJ Governor, lineup of industry leaders",EVENT CONTINUES THIS WEDNESDAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/09/23/49180/1663940373-phil-murphy-gobernador-new-jersey-east-coast-gaming-congress.jpg,https://www.yogonet.com/international/news/2025/04/03/100255-east-coast-gaming-congress-to-feature-nj-governor-lineup-of-industry-leaders
SBC Summit Americas to host EDM star Steve Aoki at INFINITY Florida closing party,"MAY 13-15, FLORIDA",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/31/74165/1743446996-sbc-summit-americas-2025-steve-aoki-eng.jpg,https://www.yogonet.com/international/news/2025/04/02/100119-sbc-summit-americas-to-host-edm-star-steve-aoki-at-infinity-florida-closing-party
"Kambi’s Abios delivering esports odds feed, betting solution to new UK-based operator Dragoni",AIMS TO INCREASE BETTING ACTIVITY,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/08/04/56647/1691169413-oskar-froberg-fundador-abios.jpg,https://www.yogonet.com/international/news/2023/08/07/68205-kambis-abios-delivering-esports-odds-feed-betting-solution-to-new-ukbased-operator-dragoni
Brazil opens public consultation on eSports regulation to boost transparency,TARGETING FURTHER GROWTH IN 2023,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/09/02/67393/1725280687-giovanni-rocco-neto-secretario-apuestas-deportivas-brasil.jpg,https://www.yogonet.com/international/news/2025/02/20/95678-brazil-opens-public-consultation-on-esports-regulation-to-boost-transparency
"EU Parliament passes resolution to support video gaming, safeguard esports from illegal gambling and match-fixing","JUNE 26, MADRID",https://imagenesyogonet.b-cdn.net/data/imagenes/2018/10/24/21923/1625250361-esports-generica-07.jpg,https://www.yogonet.com/international/news/2022/11/16/65058-eu-parliament-passes-resolution-to-support-video-gaming--safeguard-esports-from-illegal-gambling-and-matchfixing
Rivalry goes live with esports betting mobile app in Ontario,FROM JUNE 17 TO 19,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/05/31/54947/1685540507-rivalry-esports-betting-app-ontario.jpg,https://www.yogonet.com/international/news/2023/05/31/67353-rivalry-goes-live-with-esports-betting-mobile-app-in-ontario
"DATA.BET unveils enhanced Single Page Application with increased speed, customization options",MORE FLEXIBLE AND EFFICIENT,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74309/1743786600-data-bet-enhanced-single-page-application-2025.jpg,https://www.yogonet.com/international/news/2025/04/07/100477-databet-unveils-enhanced-single-page-application-with-increased-speed-customization-options
Nevada: Boyd Gaming breaks ground on Cadence Crossing Casino in Henderson,NEW PROJECT TO REPLACE JOKER’S WILD,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74276/1743768010-boyd-gaming-groundbreaking-cadence-crossing-casino-henderson.jpg,https://www.yogonet.com/international/news/2025/04/04/100452-nevada-boyd-gaming-breaks-ground-on-cadence-crossing-casino-in-henderson
